ntasks,global_data_size,parallel_time,serial_time,run_serial
32,32000000,0.678700,7.163819,1
32,32000000,0.677856,7.168956,1
32,32000000,0.690223,7.170946,1
32,32000000,0.738269,7.381378,1
32,32000000,0.676681,7.207336,1
32,32000000,0.692383,7.171455,1
34,34000000,0.736118,7.506638,1
34,34000000,0.703335,7.440545,1
34,34000000,0.719955,7.592292,1
34,34000000,0.750341,7.396370,1
34,34000000,0.743785,7.485137,1
34,34000000,0.729755,7.485805,1
34,34000000,0.743049,7.520950,1
34,34000000,0.717723,7.507501,1
34,34000000,0.744986,7.444397,1
34,34000000,0.704692,7.770870,1
36,36000000,0.763190,8.073544,1
36,36000000,0.767448,8.112900,1
36,36000000,0.763666,8.021291,1
36,36000000,0.762877,8.104208,1
36,36000000,0.765794,8.107446,1
36,36000000,0.764275,8.112621,1
36,36000000,0.765675,8.097484,1
36,36000000,0.768159,8.101730,1
36,36000000,0.763544,8.047245,1
36,36000000,0.768881,8.104883,1
38,38000000,0.742040,8.295182,1
38,38000000,0.743136,8.340165,1
38,38000000,0.744271,8.298998,1
38,38000000,0.743674,8.242425,1
38,38000000,0.745909,8.274370,1
38,38000000,0.743543,8.230929,1
38,38000000,0.780133,8.543223,1
38,38000000,0.743783,8.231210,1
38,38000000,0.781969,8.374817,1
38,38000000,0.748552,8.308131,1
40,40000000,0.767603,8.697141,1
40,40000000,0.798466,8.941897,1
40,40000000,0.798372,8.797341,1
40,40000000,0.800280,8.820713,1
40,40000000,0.799484,8.728088,1
40,40000000,0.798880,8.719224,1
40,40000000,0.770290,8.696731,1
40,40000000,0.801203,8.790742,1
40,40000000,0.797760,8.780095,1
40,40000000,0.798713,8.865611,1
42,42000000,0.827318,9.323228,1
42,42000000,0.792613,9.237695,1
42,42000000,0.791115,9.313924,1
42,42000000,0.793673,9.213536,1
42,42000000,0.792536,9.274300,1
42,42000000,0.817654,9.385463,1
42,42000000,0.820609,9.201756,1
42,42000000,0.794293,9.202045,1
42,42000000,0.794331,9.188388,1
42,42000000,0.820051,9.269478,1
44,44000000,0.815666,9.927369,1
44,44000000,0.817030,9.801584,1
44,44000000,0.822627,9.801917,1
44,44000000,0.822021,9.785834,1
44,44000000,0.817041,9.910963,1
44,44000000,0.832508,9.771789,1
44,44000000,0.816835,9.886245,1
44,44000000,0.831807,9.800114,1
44,44000000,0.828722,9.993035,1
44,44000000,0.818301,9.919216,1
46,46000000,0.846539,10.317179,1
46,46000000,0.843775,10.217912,1
46,46000000,0.860124,10.218040,1
46,46000000,0.848215,10.278729,1
46,46000000,0.854007,10.245142,1
46,46000000,0.845399,10.231226,1
46,46000000,0.847969,10.246603,1
