ntasks,global_data_size,parallel_time,serial_time,run_serial
32,10000000,0.213055,0.000000,0
32,10000000,0.210237,0.000000,0
32,10000000,0.211250,0.000000,0
32,10000000,0.210110,0.000000,0
32,10000000,0.210173,0.000000,0
32,10000000,0.213849,0.000000,0
34,10000000,0.202835,2.035756,1
34,10000000,0.202616,0.000000,0
34,10000000,0.202961,0.000000,0
34,10000000,0.202652,0.000000,0
34,10000000,0.203156,0.000000,0
34,10000000,0.201949,0.000000,0
34,10000000,0.203072,0.000000,0
34,10000000,0.202587,0.000000,0
34,10000000,0.203065,0.000000,0
34,10000000,0.203096,0.000000,0
36,10000000,0.199054,2.030678,1
36,10000000,0.197951,0.000000,0
36,10000000,0.198380,0.000000,0
36,10000000,0.198772,0.000000,0
36,10000000,0.198809,0.000000,0
36,10000000,0.198157,0.000000,0
36,10000000,0.197947,0.000000,0
36,10000000,0.201237,0.000000,0
36,10000000,0.198551,0.000000,0
36,10000000,0.198381,0.000000,0
38,10000000,0.193787,2.029761,1
38,10000000,0.193615,0.000000,0
38,10000000,0.193658,0.000000,0
38,10000000,0.194636,0.000000,0
38,10000000,0.193653,0.000000,0
38,10000000,0.194392,0.000000,0
38,10000000,0.193232,0.000000,0
38,10000000,0.193468,0.000000,0
38,10000000,0.193097,0.000000,0
38,10000000,0.193847,0.000000,0
40,10000000,0.188798,2.033861,1
40,10000000,0.188565,0.000000,0
40,10000000,0.189009,0.000000,0
40,10000000,0.189055,0.000000,0
40,10000000,0.191100,0.000000,0
40,10000000,0.190016,0.000000,0
40,10000000,0.189523,0.000000,0
40,10000000,0.189043,0.000000,0
40,10000000,0.189024,0.000000,0
40,10000000,0.189219,0.000000,0
42,10000000,0.184970,2.029855,1
42,10000000,0.185638,0.000000,0
42,10000000,0.185723,0.000000,0
42,10000000,0.184530,0.000000,0
42,10000000,0.184838,0.000000,0
42,10000000,0.185223,0.000000,0
42,10000000,0.185465,0.000000,0
42,10000000,0.186161,0.000000,0
42,10000000,0.184598,0.000000,0
42,10000000,0.185433,0.000000,0
44,10000000,0.238511,2.023448,1
44,10000000,0.181607,0.000000,0
44,10000000,0.238559,0.000000,0
44,10000000,0.180698,0.000000,0
44,10000000,0.181161,0.000000,0
44,10000000,0.237510,0.000000,0
44,10000000,0.181494,0.000000,0
44,10000000,0.180941,0.000000,0
44,10000000,0.180888,0.000000,0
44,10000000,0.238499,0.000000,0
46,10000000,0.237027,2.027738,1
46,10000000,0.180243,0.000000,0
46,10000000,0.234673,0.000000,0
46,10000000,0.236799,0.000000,0
46,10000000,0.236773,0.000000,0
46,10000000,0.236205,0.000000,0
46,10000000,0.180191,0.000000,0
46,10000000,0.237649,0.000000,0
46,10000000,0.237368,0.000000,0
46,10000000,0.179644,0.000000,0
48,10000000,0.178375,2.086729,1
48,10000000,0.178960,0.000000,0
48,10000000,0.235574,0.000000,0
48,10000000,0.178742,0.000000,0
48,10000000,0.234474,0.000000,0
48,10000000,0.178363,0.000000,0
48,10000000,0.234834,0.000000,0
48,10000000,0.234526,0.000000,0
48,10000000,0.235624,0.000000,0
48,10000000,0.178560,0.000000,0
50,10000000,0.174493,2.037495,1
50,10000000,0.231712,0.000000,0
50,10000000,0.174640,0.000000,0
50,10000000,0.232591,0.000000,0
50,10000000,0.232677,0.000000,0
50,10000000,0.230816,0.000000,0
50,10000000,0.232501,0.000000,0
50,10000000,0.232233,0.000000,0
50,10000000,0.174940,0.000000,0
50,10000000,0.232183,0.000000,0
52,10000000,0.234571,2.061783,1
52,10000000,0.232905,0.000000,0
52,10000000,0.173777,0.000000,0
52,10000000,0.174447,0.000000,0
52,10000000,0.231355,0.000000,0
52,10000000,0.233736,0.000000,0
52,10000000,0.231349,0.000000,0
52,10000000,0.230899,0.000000,0
52,10000000,0.232678,0.000000,0
52,10000000,0.233959,0.000000,0
54,10000000,0.231562,2.025405,1
54,10000000,0.229483,0.000000,0
54,10000000,0.229760,0.000000,0
54,10000000,0.228426,0.000000,0
54,10000000,0.229503,0.000000,0
54,10000000,0.228808,0.000000,0
54,10000000,0.229030,0.000000,0
54,10000000,0.228343,0.000000,0
54,10000000,0.230033,0.000000,0
54,10000000,0.232428,0.000000,0
56,10000000,0.231619,2.057755,1
56,10000000,0.228698,0.000000,0
