Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,1,6,65536,16.37,14.91,18.06,1000
Broadcast,1,6,131072,28.50,25.65,31.36,1000
Broadcast,1,6,262144,67.97,65.73,70.49,1000
Broadcast,1,6,524288,161.74,159.75,164.80,1000
Broadcast,1,6,1048576,339.19,335.17,343.61,1000
Broadcast,2,6,1,0.33,0.27,0.45,1000
Broadcast,2,6,2,0.34,0.26,0.47,1000
Broadcast,2,6,4,0.33,0.27,0.46,1000
Broadcast,2,6,8,0.33,0.26,0.45,1000
Broadcast,2,6,16,0.33,0.27,0.44,1000
Broadcast,2,6,32,0.34,0.28,0.47,1000
Broadcast,2,6,64,0.34,0.28,0.45,1000
Broadcast,2,6,128,0.59,0.42,0.79,1000
Broadcast,2,6,256,0.56,0.39,0.74,1000
Broadcast,2,6,512,0.62,0.45,0.81,1000
Broadcast,2,6,1024,0.74,0.49,1.06,1000
Broadcast,2,6,2048,1.08,0.61,1.73,1000
Broadcast,2,6,4096,1.55,0.77,2.66,1000
Broadcast,2,6,8192,2.63,1.17,4.71,1000
Broadcast,2,6,16384,6.04,4.49,6.87,1000
Broadcast,2,6,32768,10.58,7.98,12.93,1000
Broadcast,2,6,65536,16.47,13.17,19.25,1000
Broadcast,2,6,131072,31.05,26.20,36.01,1000
Broadcast,2,6,262144,64.62,53.62,74.25,1000
Broadcast,2,6,524288,141.03,126.48,161.62,1000
Broadcast,2,6,1048576,294.58,272.17,336.66,1000
Broadcast,3,6,1,0.61,0.16,0.87,1000
Broadcast,3,6,2,0.63,0.17,0.96,1000
Broadcast,3,6,4,0.62,0.16,0.88,1000
Broadcast,3,6,8,0.62,0.16,0.92,1000
Broadcast,3,6,16,0.61,0.16,0.88,1000
Broadcast,3,6,32,0.66,0.16,1.02,1000
Broadcast,3,6,64,0.65,0.15,0.97,1000
Broadcast,3,6,128,0.82,0.21,1.25,1000
Broadcast,3,6,256,0.85,0.20,1.28,1000
Broadcast,3,6,512,0.92,0.22,1.42,1000
Broadcast,3,6,1024,1.08,0.22,1.78,1000
Broadcast,3,6,2048,1.35,0.27,2.28,1000
Broadcast,3,6,4096,1.81,0.33,3.10,1000
Broadcast,3,6,8192,2.73,0.46,4.80,1000
Broadcast,3,6,16384,10.94,2.63,16.57,1000
Broadcast,3,6,32768,20.49,5.08,31.16,1000
Broadcast,3,6,65536,30.63,7.29,46.38,1000
Broadcast,3,6,131072,50.84,12.19,76.57,1000
Broadcast,3,6,262144,97.71,25.26,145.22,1000
Broadcast,3,6,524288,181.84,51.82,266.82,1000
Broadcast,3,6,1048576,359.58,105.14,526.75,1000
Broadcast,5,6,1,0.37,0.14,0.47,1000
Broadcast,5,6,2,0.38,0.14,0.48,1000
Broadcast,5,6,4,0.37,0.14,0.47,1000
Broadcast,5,6,8,0.38,0.13,0.49,1000
Broadcast,5,6,16,0.37,0.14,0.46,1000
Broadcast,5,6,32,0.43,0.14,0.52,1000
Broadcast,5,6,64,0.41,0.14,0.50,1000
Broadcast,5,6,128,0.60,0.22,0.75,1000
Broadcast,5,6,256,0.64,0.25,0.80,1000
Broadcast,5,6,512,0.66,0.24,0.83,1000
Broadcast,5,6,1024,0.79,0.27,1.02,1000
Broadcast,5,6,2048,1.13,0.36,1.62,1000
Broadcast,5,6,4096,1.71,0.51,2.41,1000
