Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Reduce,2,4,1024,0.86,0.77,0.94,1000
Reduce,2,4,2048,1.09,1.04,1.16,1000
Reduce,2,4,4096,1.50,1.43,1.57,1000
Reduce,2,4,8192,2.44,2.39,2.47,1000
Reduce,2,4,16384,3.63,3.55,3.69,1000
Reduce,2,4,32768,6.10,5.97,6.27,1000
Reduce,2,4,65536,10.86,10.60,11.07,1000
Reduce,2,4,131072,21.25,21.14,21.39,1000
Reduce,2,4,262144,41.56,41.31,41.81,1000
Reduce,2,4,524288,142.25,138.50,145.99,1000
Reduce,2,4,1048576,354.80,341.24,368.34,1000
Reduce,3,4,4,0.50,0.42,0.58,1000
Reduce,3,4,8,0.50,0.41,0.58,1000
Reduce,3,4,16,0.50,0.42,0.58,1000
Reduce,3,4,32,0.50,0.42,0.59,1000
Reduce,3,4,64,0.49,0.41,0.58,1000
Reduce,3,4,128,0.68,0.60,0.77,1000
Reduce,3,4,256,0.69,0.62,0.77,1000
Reduce,3,4,512,0.74,0.67,0.82,1000
Reduce,3,4,1024,0.84,0.78,0.92,1000
Reduce,3,4,2048,1.08,1.03,1.15,1000
Reduce,3,4,4096,1.49,1.43,1.58,1000
Reduce,3,4,8192,2.45,2.39,2.49,1000
Reduce,3,4,16384,3.60,3.52,3.65,1000
Reduce,3,4,32768,5.97,5.90,6.04,1000
Reduce,3,4,65536,10.85,10.80,10.89,1000
Reduce,3,4,131072,21.10,20.91,21.24,1000
Reduce,3,4,262144,42.98,42.49,43.25,1000
Reduce,3,4,524288,162.10,161.97,162.23,1000
Reduce,3,4,1048576,418.67,416.65,420.59,1000
Reduce,4,4,4,0.50,0.42,0.59,1000
Reduce,4,4,8,0.49,0.41,0.58,1000
Reduce,4,4,16,0.50,0.42,0.57,1000
Reduce,4,4,32,0.53,0.44,0.61,1000
Reduce,4,4,64,0.54,0.47,0.61,1000
Reduce,4,4,128,0.70,0.64,0.78,1000
Reduce,4,4,256,0.70,0.64,0.77,1000
Reduce,4,4,512,0.76,0.71,0.82,1000
Reduce,4,4,1024,0.86,0.80,0.93,1000
Reduce,4,4,2048,1.09,1.05,1.15,1000
Reduce,4,4,4096,1.51,1.46,1.57,1000
Reduce,4,4,8192,2.43,2.37,2.47,1000
Reduce,4,4,16384,3.63,3.53,3.70,1000
Reduce,4,4,32768,6.01,5.94,6.12,1000
Reduce,4,4,65536,10.66,10.56,10.81,1000
Reduce,4,4,131072,21.13,20.86,21.34,1000
Reduce,4,4,262144,41.26,41.02,41.60,1000
Reduce,4,4,524288,162.72,162.52,162.86,1000
Reduce,4,4,1048576,418.62,416.95,420.29,1000
Reduce,1,6,4,1.38,0.85,1.76,1000
Reduce,1,6,8,1.36,0.82,1.73,1000
Reduce,1,6,16,1.36,0.82,1.73,1000
Reduce,1,6,32,1.62,0.93,2.10,1000
Reduce,1,6,64,1.60,0.92,2.12,1000
Reduce,1,6,128,1.81,1.32,2.14,1000
Reduce,1,6,256,1.85,1.36,2.18,1000
Reduce,1,6,512,1.87,1.37,2.19,1000
Reduce,1,6,1024,2.15,1.65,2.47,1000
Reduce,1,6,2048,2.87,2.41,3.19,1000
Reduce,1,6,4096,4.29,3.83,4.68,1000
Reduce,1,6,8192,6.40,5.64,6.99,1000
Reduce,1,6,16384,10.18,9.14,10.95,1000
Reduce,1,6,32768,15.78,14.43,16.71,1000
Reduce,1,6,65536,29.43,27.85,30.48,1000
Reduce,1,6,131072,56.65,53.93,58.58,1000
Reduce,1,6,262144,129.21,118.53,134.68,1000
Reduce,1,6,524288,386.98,351.61,410.26,1000
Reduce,1,6,1048576,782.49,707.45,832.42,1000
Reduce,2,6,4,1.53,1.02,1.91,1000
Reduce,2,6,8,1.60,1.00,2.04,1000
Reduce,2,6,16,1.57,0.98,2.00,1000
Reduce,2,6,32,1.71,1.11,2.19,1000
Reduce,2,6,64,1.67,1.11,2.08,1000
Reduce,2,6,128,1.92,1.45,2.24,1000
Reduce,2,6,256,1.96,1.51,2.26,1000
Reduce,2,6,512,2.01,1.61,2.34,1000
Reduce,2,6,1024,2.07,1.70,2.38,1000
Reduce,2,6,2048,2.83,2.44,3.15,1000
Reduce,2,6,4096,4.31,3.85,4.69,1000
Reduce,2,6,8192,6.84,6.02,7.49,1000
Reduce,2,6,16384,10.28,9.19,11.08,1000
Reduce,2,6,32768,15.93,14.57,16.82,1000
