ntasks,global_data_size,parallel_time,serial_time
36,10000000,0.198019,2.028916
36,10000000,0.198294,2.111584
36,10000000,0.200893,2.038490
36,10000000,0.198853,2.073922
36,10000000,0.199652,2.040092
36,10000000,0.199311,2.037042
36,10000000,0.198409,2.048534
38,10000000,0.193495,2.047284
38,10000000,0.193601,2.051475
38,10000000,0.192457,2.036506
38,10000000,0.194352,2.033363
38,10000000,0.193226,2.044286
38,10000000,0.195012,2.038292
38,10000000,0.193895,2.048847
38,10000000,0.194664,2.042130
38,10000000,0.192642,2.060248
38,10000000,0.194594,2.147473
40,10000000,0.188116,2.059580
40,10000000,0.189238,2.036780
40,10000000,0.190194,2.038581
40,10000000,0.188074,2.059064
40,10000000,0.188295,2.045279
40,10000000,0.188363,2.032639
40,10000000,0.188601,2.057923
40,10000000,0.189211,2.052119
40,10000000,0.188370,2.038942
40,10000000,0.189148,2.072805
42,10000000,0.185197,2.039966
42,10000000,0.185139,2.037546
42,10000000,0.184986,2.033497
42,10000000,0.186075,2.073922
42,10000000,0.184928,2.038201
42,10000000,0.185671,2.032966
42,10000000,0.184869,2.042130
42,10000000,0.186040,2.032679
42,10000000,0.184837,2.036401
42,10000000,0.185786,2.041120
44,10000000,0.181889,2.114097
44,10000000,0.181205,2.035984
44,10000000,0.181042,2.031998
44,10000000,0.238598,2.086583
44,10000000,0.181326,2.040313
44,10000000,0.237345,2.032475
44,10000000,0.182559,2.079386
44,10000000,0.180452,2.039897
44,10000000,0.181449,2.038180
44,10000000,0.236101,2.038226
46,10000000,0.178637,2.038425
46,10000000,0.179947,2.032968
46,10000000,0.179623,2.040748
46,10000000,0.236885,2.036990
46,10000000,0.237081,2.035403
46,10000000,0.237564,2.061175
46,10000000,0.179014,2.154853
46,10000000,0.179301,2.032583
46,10000000,0.236975,2.045338
46,10000000,0.179944,2.034230
48,10000000,0.178126,2.038991
48,10000000,0.236276,2.036960
48,10000000,0.235017,2.064729
48,10000000,0.176927,2.038340
48,10000000,0.235759,2.082835
48,10000000,0.235355,2.130682
48,10000000,0.235005,2.048011
48,10000000,0.177535,2.037869
48,10000000,0.177735,2.035869
48,10000000,0.234530,2.046565
50,10000000,0.174381,2.038391
50,10000000,0.174576,2.037054
50,10000000,0.231622,2.043194
50,10000000,0.232060,2.036231
