Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,1,3,65536,10.75,10.55,10.88,1000
Broadcast,1,3,131072,18.16,17.72,18.39,1000
Broadcast,1,3,262144,32.51,31.71,32.97,1000
Broadcast,1,3,524288,62.11,60.57,62.96,1000
Broadcast,1,3,1048576,124.58,121.74,126.12,1000
Broadcast,2,3,1,0.36,0.15,0.61,1000
Broadcast,2,3,2,0.38,0.17,0.62,1000
Broadcast,2,3,4,0.37,0.15,0.61,1000
Broadcast,2,3,8,0.36,0.15,0.58,1000
Broadcast,2,3,16,0.36,0.15,0.59,1000
Broadcast,2,3,32,0.39,0.16,0.61,1000
Broadcast,2,3,64,0.39,0.16,0.63,1000
Broadcast,2,3,128,0.50,0.28,0.65,1000
Broadcast,2,3,256,0.53,0.29,0.68,1000
Broadcast,2,3,512,0.54,0.28,0.70,1000
Broadcast,2,3,1024,0.71,0.40,0.87,1000
Broadcast,2,3,2048,0.90,0.50,1.15,1000
Broadcast,2,3,4096,1.31,0.80,1.72,1000
Broadcast,2,3,8192,1.94,1.33,2.60,1000
Broadcast,2,3,16384,4.30,4.25,4.33,1000
Broadcast,2,3,32768,6.97,6.80,7.06,1000
Broadcast,2,3,65536,10.63,10.41,10.76,1000
Broadcast,2,3,131072,17.90,17.50,18.13,1000
Broadcast,2,3,262144,32.45,31.66,32.89,1000
Broadcast,2,3,524288,62.55,61.13,63.39,1000
Broadcast,2,3,1048576,125.92,122.86,127.77,1000
Broadcast,3,3,1,0.44,0.09,0.70,1000
Broadcast,3,3,2,0.48,0.10,0.75,1000
Broadcast,3,3,4,0.45,0.10,0.70,1000
Broadcast,3,3,8,0.45,0.09,0.70,1000
Broadcast,3,3,16,0.44,0.09,0.69,1000
Broadcast,3,3,32,0.51,0.10,0.75,1000
Broadcast,3,3,64,0.49,0.09,0.73,1000
Broadcast,3,3,128,0.60,0.14,0.83,1000
Broadcast,3,3,256,0.61,0.13,0.86,1000
Broadcast,3,3,512,0.66,0.13,0.95,1000
Broadcast,3,3,1024,0.82,0.18,1.19,1000
Broadcast,3,3,2048,1.03,0.19,1.60,1000
Broadcast,3,3,4096,1.48,0.33,2.30,1000
Broadcast,3,3,8192,2.31,0.58,3.63,1000
Broadcast,3,3,16384,6.44,3.65,8.00,1000
Broadcast,3,3,32768,10.59,6.25,12.96,1000
Broadcast,3,3,65536,15.26,9.06,18.53,1000
Broadcast,3,3,131072,24.56,14.81,29.60,1000
Broadcast,3,3,262144,43.36,26.12,52.16,1000
Broadcast,3,3,524288,81.50,48.49,98.19,1000
Broadcast,3,3,1048576,161.72,98.45,193.51,1000
Broadcast,5,3,1,0.37,0.15,0.61,1000
Broadcast,5,3,2,0.38,0.17,0.62,1000
Broadcast,5,3,4,0.36,0.15,0.58,1000
Broadcast,5,3,8,0.36,0.16,0.58,1000
